,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff,ema5_lowDiff
799,29-06-2020 23:45,30.5,31.4,23.3,03-07-2020 01:35,-2.950819672,31.03,31.4,30.6,30.5,29.68294631,29.38325478,29.01474311,90.41859092,1.38575572,5.468323863,2.678864567
800,09-08-2020 23:50,35.68,36.37,30.16,10-08-2020 00:00,-1.933856502,36.37,36.37,35.87,35.68,34.73196184,34.1745886,33.67446804,80.13642161,1.374759417,4.503816767,2.657057618
801,10-08-2020 00:10,37.28,37.97,31.76,13-08-2020 04:30,-1.850858369,37.7,37.97,37.48,37.28,36.7253258,35.90875949,34.73770647,82.91365779,0.583554377,3.278046363,1.487859989
802,08-12-2020 23:25,40.33,40.83,36.33,17-12-2020 22:45,-1.239771882,40.65,40.83,40.33,40.33,40.11632582,39.68503993,38.84403228,82.45955553,0.787207872,1.747916198,0.529814489
803,01-03-2021 22:50,49.12,49.5,46.08,01-03-2021 23:30,-0.773615635,49.37,49.5,49.12,49.12,48.98989498,48.84763576,48.41232206,70.86850076,0.506380393,1.030515192,0.264871783
804,04-05-2021 00:55,45.07,45.43,42.19,04-05-2021 02:10,-0.798757488,45.42,45.43,45.13,45.07,44.91443066,44.67657285,44.27144335,74.65341971,0.638485249,1.134865375,0.345172708
805,05-05-2021 23:45,46.13,46.68,41.73,06-05-2021 04:15,-1.192282679,46.57,46.68,46.27,46.13,46.08630127,45.98255971,45.76649572,71.9461003,0.64419154,1.271848174,0.09472952
806,11-05-2021 23:55,51.17,51.77,46.37,18-05-2021 23:55,-1.172562048,51.6,51.77,51.23,51.17,50.8471514,50.43466801,49.7821931,71.6140499,0.717054264,1.782593402,0.630933367
807,22-06-2021 23:50,52.18,52.83,46.98,23-06-2021 02:20,-1.245688003,52.83,52.83,52.28,52.18,51.59372599,51.19712316,50.73966064,74.78555953,1.041075147,2.340098449,1.123560772
808,30-01-2022 22:45,70.42,73.25,47.78,02-03-2022 22:45,-4.018744675,71.57,73.25,70.58,70.42,69.61082661,69.41510841,69.36496265,71.30324692,1.383261143,4.968154793,1.149067574
809,27-04-2022 23:45,82.47,83.33,75.59,08-05-2022 23:45,8.342427549,83.33,83.33,82.52,82.47,82.31327735,82.20419932,82.00994696,74.10072574,0.972038882,1.220115986,0.190035954
810,19-05-2022 23:50,77.07,77.63,72.59,20-05-2022 00:00,-0.726612171,77.6,77.63,77.13,77.07,76.69242043,76.31617153,75.849199,70.35304246,0.605670103,1.207754181,0.489917699
811,21-07-2022 00:00,87.1,87.67,82.54,21-07-2022 00:15,-0.654420207,87.62,87.67,87.15,87.1,86.47498916,85.98743086,85.45223642,75.60003741,0.536407213,1.363078412,0.717578466
812,17-07-2018 05:10,615.45,619.4,583.85,19-07-2018 00:00,5.134454464,619.4,619.4,615.55,615.45,614.147679,611.0886417,606.5601937,72.66050646,0.621569261,0.847969157,0.211604673
813,02-11-2018 04:15,627.55,637.3,549.55,04-12-2018 22:55,12.4292885,631.85,637.3,628.5,627.55,619.6346462,613.3086191,606.4701472,72.72137499,0.530189127,2.771905506,1.26131046
814,29-10-2019 00:20,470.7,473.8,445.9,04-11-2019 22:45,-0.658593584,473.55,473.8,470.9,470.7,468.6815637,465.3607987,460.0011729,79.23887938,0.559602999,1.080294711,0.428815879
815,12-05-2020 23:50,291.75,295.45,262.15,13-05-2020 00:00,-1.268209083,294.4,295.45,292,291.75,289.3115136,287.2238173,283.7124391,71.75469007,0.815217391,2.077673522,0.835813684
816,29-05-2020 05:40,327,331.05,294.6,31-05-2020 23:45,-1.23853211,331,331.05,327.2,327,324.8776972,322.4890418,319.2545151,74.38652528,1.148036254,1.864462419,0.649022274
817,09-08-2020 23:50,421,426.7,375.4,09-08-2020 23:55,-1.35391924,426.2,426.7,422.35,421,416.5407822,413.8675528,411.5872477,73.92857584,0.903331769,2.380880658,1.05919662
818,13-08-2020 02:10,482.8,489.95,425.6,13-08-2020 03:55,-1.48094449,488.6,489.95,483.15,482.8,481.6525544,477.8217834,468.6232407,76.2045133,1.115431846,1.693529056,0.237664791
819,04-10-2020 23:50,457.5,463.5,409.5,05-10-2020 00:45,-1.31147541,462.8,463.5,460.1,457.5,455.4103822,452.9346659,450.8028625,72.24420032,0.583405359,1.745332851,0.456747053
820,01-02-2021 03:00,608.4,614,563.6,01-02-2021 03:50,-0.920447074,612,614,608.4,608.4,605.0633534,601.6134702,596.1491669,72.15605708,0.588235294,1.455479905,0.548429753
821,29-04-2021 05:00,607.25,611.8,570.85,30-04-2021 00:15,-0.749279539,611.15,611.8,608,607.25,607.0335434,604.0849345,598.4271575,75.48172309,0.515421746,0.779087383,0.035645386
822,04-05-2021 00:10,631.2,636.45,589.2,04-05-2021 00:20,-0.831749049,636.35,636.45,631.3,631.2,629.4427144,626.2460268,620.9680227,71.81319853,0.793588434,1.100995465,0.278403935
823,16-03-2022 23:45,684.15,693.5,609.35,22-03-2022 04:20,-1.366659358,690,693.5,684.3,684.15,678.2122843,676.7492754,675.289252,76.50647059,0.826086957,2.204429078,0.867896756
824,30-05-2022 23:50,699.05,711,603.45,31-05-2022 00:20,-1.709462842,704.8,711,699.6,699.05,694.2941191,690.7947428,685.7469551,77.13015094,0.737797957,2.349631627,0.680334864
